    ,Ticker ,Predicted Outcome ,Outcome Certainty ,Predicted Return ,Recommendation ,Previous Close       ,Predicted Close
 59 ,PEP    ,-                 ,       0.5775838  ,0.023506591      ,Refrain        , 129.9600067138672   , 129.9905548095703
 60 ,GILD   ,+                 ,       0.6358002  ,0.020164194      ,Refrain        , 113.0               , 113.02278137207031
 61 ,V      ,+                 ,       0.5852951  ,0.020080695      ,Refrain        , 366.6600036621094   , 366.7336120605469
 62 ,NKE    ,+                 ,       0.5358214  ,0.019933736      ,Refrain        ,  61.90999984741211  ,  61.922340393066406
 63 ,PM     ,-                 ,       0.5670879  ,0.01973618       ,Refrain        , 180.6300048828125   , 180.66566467285156
 64 ,WFC    ,-                 ,       0.60104406 ,0.01795907       ,Refrain        ,  76.45999908447266  ,  76.4737319946289
 65 ,AXP    ,+                 ,       0.58765143 ,0.017843321      ,Refrain        , 301.55999755859375  , 301.6138000488281
 66 ,CRM    ,-                 ,       0.5375386  ,0.01613353       ,Refrain        , 272.25              , 272.2939147949219
 67 ,CMCSA  ,+                 ,       0.5422293  ,0.00180143       ,Refrain        ,  34.599998474121094 ,  34.60062026977539
 68 ,CSCO   ,-                 ,       0.66271126 ,-0.0012683916    ,Refrain        ,  65.9000015258789   ,  65.89916229248047
 69 ,GD     ,+                 ,       0.5065462  ,-0.0028127017    ,Refrain        , 277.30999755859375  , 277.30218505859375
 70 ,VZ     ,+                 ,       0.5072101  ,-0.005547076     ,Refrain        ,  43.650001525878906 ,  43.647579193115234
 71 ,XOM    ,+                 ,       0.51598066 ,-0.011777085     ,Refrain        , 104.97000122070312  , 104.9576416015625
 72 ,COF    ,-                 ,       0.52570796 ,-0.014377643     ,Refrain        , 198.9900054931641   , 198.96139526367188
 73 ,MDLZ   ,-                 ,       0.62932265 ,-0.021982243     ,Refrain        ,  66.69999694824219  ,  66.68533325195312
 74 ,T      ,+                 ,       0.6496183  ,-0.023051165     ,Refrain        ,  27.86000061035156  ,  27.853578567504883
 75 ,DE     ,-                 ,       0.54756963 ,-0.02324919      ,Refrain        , 521.6799926757812   , 521.5587158203125
 76 ,JNJ    ,+                 ,       0.5439196  ,-0.02610744      ,Refrain        , 155.22999572753906  , 155.18946838378906
 77 ,DHR    ,+                 ,       0.5211925  ,-0.05001134      ,Refrain        , 199.1999969482422   , 199.10037231445312
 78 ,NOW    ,-                 ,       0.57382345 ,-0.050454907     ,Refrain        ,1026.8599853515625   ,1026.3419189453125
 79 ,ABBV   ,-                 ,       0.6632041  ,-0.054164335     ,Refrain        , 189.16000366210935  , 189.05755615234375
 80 ,KO     ,+                 ,       0.5177912  ,-0.06730961      ,Refrain        ,  71.7699966430664   ,  71.72168731689453
 81 ,FDX    ,-                 ,       0.58798164 ,-0.07882336      ,Refrain        , 222.17999267578125  , 222.00486755371094
 82 ,GOOG   ,-                 ,       0.60394126 ,-0.0860654       ,Refrain        , 177.6300048828125   , 177.4771270751953
 83 ,MDT    ,+                 ,       0.588384   ,-0.08716823      ,Refrain        ,  87.44999694824219  ,  87.37377166748047
 84 ,CVS    ,+                 ,       0.54529285 ,-0.090641275     ,Refrain        ,  63.86000061035156  ,  63.80211639404297
 85 ,MRK    ,+                 ,       0.5341228  ,-0.11840009      ,Refrain        ,  79.33000183105469  ,  79.23607635498047
 86 ,GM     ,-                 ,       0.5512948  ,-0.11915469      ,Refrain        ,  47.93000030517578  ,  47.87289047241211
 87 ,LMT    ,-                 ,       0.53343713 ,-0.1458916       ,Refrain        , 480.8299865722656   , 480.12847900390625
 88 ,SCHW   ,-                 ,       0.6543298  ,-0.18748753      ,Refrain        ,  88.20999908447266  ,  88.04461669921875
 89 ,LLY    ,+                 ,       0.56198156 ,-0.19396602      ,Refrain        , 773.7100219726562   , 772.2092895507812
 90 ,LOW    ,-                 ,       0.598861   ,-0.2025178       ,Refrain        , 223.61000061035156  , 223.1571502685547
 91 ,WMT    ,-                 ,       0.7127266  ,-0.20288408      ,Refrain        ,  97.4499969482422   ,  97.25228881835938
 92 ,SBUX   ,-                 ,       0.52554536 ,-0.26967913      ,Refrain        ,  90.66999816894533  ,  90.42547607421875
 93 ,ORCL   ,+                 ,       0.5003692  ,-0.28330854      ,Refrain        , 177.14999389648438  , 176.6481170654297
 94 ,TGT    ,-                 ,       0.51006675 ,-0.30505735      ,Refrain        ,  97.3499984741211   ,  97.05302429199219
 95 ,CHTR   ,+                 ,       0.51196504 ,-0.32334065      ,Refrain        , 394.55999755859375  , 393.2842102050781
 96 ,TMO    ,-                 ,       0.6473955  ,-0.36260268      ,Refrain        , 408.5299987792969   , 407.04864501953125
 97 ,PLTR   ,+                 ,       0.6000788  ,-0.39432845      ,Refrain        , 132.05999755859375  , 131.53924560546875
 98 ,UNH    ,-                 ,       0.5340855  ,-0.4045319       ,Refrain        , 303.19000244140625  , 301.9635009765625
 99 ,NVDA   ,-                 ,       0.69242775 ,-0.49663135      ,Refrain        , 142.6300048828125   , 141.92166137695312
100 ,TSLA   ,-                 ,       0.58411664 ,-0.58241147      ,Refrain        , 308.5799865722656   , 306.78277587890625
